variant,n_windows,concurrent_room_activation,jsd_room_distribution,overlap_preservation_rate,activity_pair_entropy,room_pair_entropy,violation_teleportation,violation_activity_room_mismatch,violation_contradictory_state,violation_exclusive_resource,violation_missing_resident_events
A_real,177,0.1864406779661017,0.0,1.0,2.1962782208849068,3.103129218896789,0.4915254237288136,3.0508474576271185,0.005649717514124294,0.11299435028248588,
B_baseline,177,0.0,0.5921967450347188,0.0,1.6261694985118886,0.0,2.2542372881355934,2.751412429378531,0.011299435028248588,,1.0
C_multiagent_raw,177,0.1977401129943503,0.016599116696748337,1.0,2.1962782208849068,3.0920427720948775,2.774011299435028,4.135593220338983,0.05084745762711865,0.1751412429378531,
D_multiagent_validated,177,0.1977401129943503,0.016599116696748337,1.0,2.1962782208849068,3.0920427720948775,,3.248587570621469,0.005649717514124294,,
